tide_range,beam,beam_pair,lat,lon,repeat_cycles_no,track
,r,2,-68.02338604,-64.9516249,4,1192
7.300516006,l,3,-66.9360502,-64.02637403,4,361
6.289408345,r,3,-66.93488772,-64.02820346,4,361
6.031462889,pair,2,-68.02290306,-64.95289624,4,1192
5.811787672,l,1,-66.60474315,-63.7767245,4,361
5.019176222,pair,2,-66.92934881,-63.94828024,4,361
4.96013752,l,1,-67.83921353,-65.09179711,4,1192
4.578705002,l,1,-66.3830857,-63.71437691,2,361
4.41603284,r,1,-66.30713197,-63.20258547,4,1009
4.398225838,pair,1,-66.30606895,-63.20392009,4,1009
4.378552886,pair,2,-66.37903163,-63.10797911,5,1009
4.308917686,l,1,-66.30461239,-63.20536796,4,1009
4.22897296,pair,2,-67.57592243,-64.83251476,2,247
4.215274397,l,3,-66.41207139,-63.02402102,5,1009
4.214996573,l,2,-66.37815058,-63.10927718,5,1009
4.083074919,l,1,-68.69020593,-64.82193738,4,1192
3.995593738,r,2,-66.87653337,-64.193072,5,1306
3.979006509,l,2,-66.87858011,-64.19154598,5,1306
3.93082131,l,2,-66.46729084,-61.78611249,3,445
3.825956004,pair,1,-66.92222843,-64.12819181,4,1306
3.812613778,r,2,-66.60249424,-63.85432993,4,361
3.764500661,pair,1,-66.60540722,-63.77794531,5,361
3.757131048,l,3,-66.60483445,-63.92903091,4,361
3.735243853,r,3,-66.69717146,-63.95810549,4,361
3.729974434,r,2,-66.46666387,-61.78418813,3,445
3.718232807,l,2,-66.60028198,-63.85158682,4,361
3.663886614,l,2,-66.92389679,-63.94561111,4,361
3.663104601,l,1,-66.74758601,-63.81749836,5,361
3.655414145,r,3,-67.19905453,-64.86720294,2,247
3.654652813,pair,3,-67.20034498,-64.86790493,2,247
3.632966243,r,2,-67.79465818,-65.02323268,4,1192
3.602890724,pair,2,-66.60378341,-63.85364867,4,361
3.544316757,r,2,-66.72175434,-63.88876074,5,361
3.505538854,pair,1,-66.75108878,-63.81954559,5,361
3.498579588,pair,2,-66.88456396,-64.19435197,5,1306
3.485574909,r,1,-66.74713868,-63.81946369,5,361
3.468499005,l,3,-67.20021627,-64.86902781,2,247
3.442976333,pair,1,-66.92620748,-63.87016611,4,361
3.407969734,r,1,-68.7644055,-64.53599463,4,247
3.395719133,l,1,-66.92749565,-63.8694906,4,361
3.37628774,r,1,-66.92474167,-63.87079513,4,361
3.373618344,pair,1,-68.96944465,-63.69070261,3,186
3.350729531,r,2,-68.77233876,-64.44960879,4,247
3.342155075,r,3,-68.74071556,-64.37650707,4,247
3.340211168,r,2,-67.8095528,-65.01860026,4,1192
3.3138448,r,1,-67.81233893,-65.09789538,4,1192
3.31322721,pair,1,-66.68322592,-64.05935924,5,1306
3.305349005,pair,1,-68.76161812,-64.53804737,4,247
3.261554151,pair,2,-66.30218728,-61.9514067,5,681
3.248355798,r,2,-66.30338325,-61.95277129,4,681
3.230361056,r,1,-66.59720973,-63.77669272,5,361
3.18546547,l,2,-66.30028156,-61.94983951,5,681
3.184743099,l,1,-68.76397105,-64.538419,4,247
3.123888361,pair,2,-66.13039995,-61.90308547,5,681
2.995532911,l,1,-67.81332032,-65.09980144,4,1192
2.992922468,pair,3,-68.66878879,-64.66114057,4,1192
2.984311827,pair,1,-67.81433634,-65.09838329,4,1192
2.973079734,l,1,-66.09163047,-62.07585954,2,239
2.959281567,r,3,-69.36409072,-62.99601297,4,681
2.945898304,l,1,-68.52481289,-64.09702066,5,1131
2.937725721,l,2,-68.76854006,-64.45319668,5,247
2.849035343,l,3,-69.21243026,-62.14093921,3,1009
2.830197012,l,2,-65.99680136,-61.08659104,2,620
2.805524377,l,1,-68.35673593,-65.08267139,2,422
2.773466572,r,2,-68.68970566,-64.75675769,4,1306
2.745804958,r,2,-67.84288865,-65.0082308,4,1192
2.730301039,pair,2,-65.9964009,-61.0875064,2,620
2.729240134,l,2,-66.52184598,-63.8292655,3,361
2.698010303,l,2,-66.13044136,-61.90218089,5,681
2.688818093,r,2,-66.13088066,-61.90436377,4,681
2.637940474,r,3,-66.39488229,-62.57297816,5,1184
2.577473313,l,3,-68.74644992,-60.96469263,3,1001
2.562929666,l,3,-68.9444726,-63.53147082,3,186
2.549707093,pair,3,-66.39422001,-62.57174327,5,1184
2.546508104,pair,1,-69.35645532,-62.82027982,4,681
2.527930988,l,3,-66.39604217,-62.57121514,5,1184
2.52249153,r,3,-67.6541742,-65.28439271,2,1367
2.485981102,r,1,-66.3471828,-61.11488983,4,384
2.463642052,l,3,-68.5222309,-65.23047095,3,308
2.457764287,r,2,-66.4269957,-63.80429902,4,361
2.388963804,pair,1,-68.17140983,-65.28418128,2,1367
2.380490017,l,1,-68.17181445,-65.28314625,2,1367
2.363060704,pair,2,-66.22364885,-61.59426652,4,887
2.344571793,l,3,-68.45046649,-63.69669861,3,186
2.332555693,r,2,-68.50307752,-64.01905978,5,1131
2.330755189,l,1,-66.22359853,-61.59344565,2,1123
2.307354574,pair,3,-70.89610314,-61.75069945,3,1001
2.303411516,r,3,-67.57487427,-65.51953053,3,925
2.27703879,r,3,-69.21410067,-62.13801889,4,1009
2.271410076,pair,3,-68.45130299,-63.69529014,3,186
2.258499449,l,3,-67.65373899,-65.28207712,2,1367
2.255869873,l,1,-66.33706332,-63.18220373,3,1245
2.252984595,pair,2,-67.84748762,-65.26354765,2,1367
2.23176582,l,1,-66.35063951,-61.11599388,4,384
2.22164443,r,1,-66.22697722,-61.6674189,3,887
2.211096369,r,2,-67.84832651,-65.26489956,2,1367
2.206059439,l,3,-68.36556205,-65.24982079,2,422
2.198068507,l,2,-66.42797646,-63.80249739,3,361
2.197414752,l,1,-67.82407975,-65.17491204,2,1367
2.196951972,l,1,-66.22724497,-61.66936193,3,887
2.188387515,l,2,-68.35673593,-65.16483679,2,422
2.182079956,r,3,-68.48653892,-63.94180355,5,1131
2.181347171,r,2,-65.9959996,-61.08842361,2,620
2.178323609,pair,1,-66.22631233,-61.66860919,3,887
2.177585806,l,1,-66.51026681,-63.66699587,3,125
2.168330351,l,1,-66.0860098,-60.92970395,4,826
2.165775411,r,2,-66.25728069,-63.23714207,3,1245
2.156568835,l,2,-69.366203,-62.90835326,3,681
2.145513019,pair,3,-67.58642869,-64.7501148,3,247
2.139378152,pair,3,-68.3656868,-65.25102547,2,422
2.130031412,pair,1,-66.08631947,-60.92860093,4,826
2.124492941,r,1,-66.33750672,-63.18432725,4,1245
2.111846897,l,2,-66.21641864,-61.59730627,4,887
2.108391288,r,1,-66.21257226,-60.89267376,3,826
2.106008158,r,1,-66.08591855,-60.92769545,4,826
2.097216656,pair,1,-66.50933392,-63.66623351,3,125
2.095339621,r,1,-67.8273506,-65.17819629,2,1367
2.086894744,pair,3,-68.54364223,-63.66486432,3,186
2.077465337,l,2,-66.01665262,-61.61083728,3,1123
2.066725876,r,2,-66.20122274,-62.18327954,3,239
2.066007086,pair,1,-67.59323179,-64.90666117,2,247
2.063191831,r,3,-66.18255774,-62.25290116,3,239
2.061368504,pair,3,-66.18100257,-62.2515414,3,239
2.060020958,r,3,-66.46230446,-61.81403148,3,1123
2.041428976,l,3,-66.27206921,-63.31432462,3,1245
2.035595789,pair,2,-68.57205635,-63.73838381,3,186
2.034898128,pair,3,-66.47388496,-61.81632979,3,1123
2.027383957,l,1,-69.27658859,-62.53178586,4,1123
2.02723931,l,2,-68.50370712,-64.02116311,5,1131
2.019443512,l,3,-66.47393266,-61.81529223,3,1123
2.01879007,r,3,-68.14742786,-65.44044819,2,1367
2.015834719,r,1,-68.35628317,-65.08481729,2,422
2.014978163,r,2,-66.01673538,-61.61294977,3,1123
2.013654088,pair,2,-67.80227012,-65.24946499,2,1367
2.013267631,r,1,-67.81014842,-65.17290574,2,1367
2.012653571,r,2,-66.47815221,-61.74277672,3,1123
2.012541695,pair,1,-68.35668682,-65.0838013,2,422
2.009610012,l,2,-66.47611851,-61.74006554,3,1123
2.007618843,pair,2,-66.25857105,-63.23643888,3,1245
1.996323372,l,2,-67.84682628,-65.26224545,2,1367
1.994622812,r,1,-66.22164082,-61.59509278,3,1123
1.991478266,r,1,-68.38624409,-65.35354972,2,1367
1.991017409,l,1,-66.03172566,-61.540549,3,1123
1.982249618,l,2,-67.80373662,-65.24882723,2,1367
1.980061347,l,1,-67.81042434,-65.17071491,2,1367
1.977190508,pair,1,-67.81072971,-65.17194723,2,1367
1.973358072,l,2,-66.29617927,-61.68898886,2,1123
1.971475759,pair,2,-66.01713317,-61.61211901,3,1123
1.970251465,l,3,-70.85811048,-61.73432985,3,1001
1.963393631,pair,2,-69.38133022,-62.65499353,4,1123
1.961098327,pair,1,-68.38611704,-65.35233683,2,1367
1.952344969,r,2,-66.07030915,-60.85737577,4,826
1.950133995,r,3,-66.48876394,-62.60002414,4,1184
1.941046533,pair,1,-66.0316788,-61.54158169,3,1123
1.932193688,pair,2,-68.13792056,-65.3549589,2,1367
1.915794009,pair,2,-66.07354989,-60.85749352,4,826
1.912990289,r,3,-70.89551847,-61.75175151,3,1001
1.903802667,r,3,-68.36208659,-65.25101312,2,422
1.901784609,r,2,-67.98557005,-65.30786775,3,1367
1.900436623,pair,1,-66.16813766,-60.90600071,4,826
1.890110993,r,2,-68.13716307,-65.35582803,2,1367
1.887641102,pair,2,-66.29453544,-61.68956078,2,1123
1.886189444,l,2,-66.0709342,-60.85924469,4,826
1.882790006,l,1,-68.38758542,-65.35163723,2,1367
1.879279945,r,2,-67.80239971,-65.2505953,2,1367
1.870208194,pair,2,-66.46737586,-61.73863375,3,1123
1.867365951,r,3,-66.25803241,-61.50831662,2,887
1.858694443,l,2,-68.41674433,-63.01142214,2,125
1.858556667,l,2,-66.16702553,-61.3515834,4,1329
1.849015618,pair,2,-66.22887327,-61.67105969,2,1123
