tide_range,beam,beam_pair,lat,lon,repeat_cycles_no,track
,pair,2,-72.99847674,-60.44031484,4,64
,pair,2,-72.60992067,-60.62170613,2,64
4.771288188,l,2,-71.5034826,-61.36408766,3,1009
4.568606549,pair,2,-71.50270997,-61.36282205,4,1009
4.562181668,r,2,-71.50266129,-61.36165579,4,1009
2.852434208,r,2,-72.59556998,-60.88649478,2,1009
2.77559173,r,2,-72.02280592,-61.14145097,3,1009
2.775325609,pair,1,-71.94860382,-61.99260837,4,1001
2.715760488,r,2,-71.95119099,-61.17239213,3,1009
2.662667238,r,1,-71.53912106,-61.44259492,4,1009
2.656048528,r,1,-71.5907796,-61.42137393,4,1009
2.631501741,l,2,-71.92919899,-61.18460911,3,1009
2.593713929,l,1,-72.489333,-60.92975822,3,437
2.534981089,l,3,-71.94491009,-62.18609392,3,1001
2.51984282,pair,1,-71.59083295,-61.42266983,4,1009
2.457610023,pair,3,-71.09758011,-61.1747108,2,64
2.358594497,pair,2,-73.3157486,-60.54657836,3,1009
2.3289694,l,2,-71.50919142,-61.38482449,3,498
2.315139813,l,2,-73.41540368,-60.95060411,2,1321
2.254222445,l,3,-73.40178696,-61.05043105,3,1321
2.208999259,r,2,-73.41334201,-60.95258461,2,1321
2.183444515,pair,2,-73.41428439,-60.95155465,2,1321
2.175345123,r,3,-73.50724646,-61.10667527,2,1321
2.154633297,pair,2,-71.90461629,-61.55292584,3,498
2.135489408,l,2,-71.90502608,-61.55172265,3,498
2.129252123,r,2,-71.94545946,-62.09084694,3,1001
2.114772496,r,2,-73.33882459,-60.53372408,3,1009
2.080704099,r,1,-72.13842549,-60.77807596,2,437
2.077468255,l,1,-71.51304373,-61.45589887,4,1009
2.068448223,r,1,-71.95509477,-61.9966905,3,1001
2.033006261,l,1,-71.60362368,-61.41871761,4,1009
2.013138724,r,2,-72.65601154,-60.85877634,2,1009
1.908639889,l,3,-72.00038053,-61.69126774,3,498
1.891780342,pair,3,-71.9533425,-62.11250526,3,628
1.869118292,l,1,-72.18894258,-60.79725273,3,437
1.852594395,l,3,-71.95323415,-62.11421422,2,628
1.814649618,l,2,-73.29496856,-60.55829256,3,1009
1.792437477,pair,2,-72.65571629,-60.86035899,2,1009
1.778023081,r,1,-72.49647475,-60.93559176,2,437
1.76292982,r,2,-71.96298031,-62.20560241,2,628
1.738817986,l,1,-72.03243232,-61.50821645,3,498
1.735141026,pair,3,-71.56567308,-61.5057844,3,498
1.725157123,r,1,-72.19024588,-60.80055478,2,437
1.707852833,r,3,-71.89913678,-61.64977391,3,498
1.692455352,l,2,-71.96132149,-62.20900712,2,628
1.659372399,pair,2,-71.9630354,-62.20691973,2,628
1.649189748,l,3,-71.61878568,-61.52689823,3,498
1.646826552,l,2,-72.03134633,-61.4001214,2,567
1.634535726,r,2,-72.50638088,-61.04132672,2,437
1.60470313,l,3,-72.50063402,-61.13709631,3,437
1.592401358,pair,3,-72.49916169,-61.1375956,3,437
1.591983624,r,3,-71.62769679,-61.53329605,3,498
1.585839078,l,2,-72.65524428,-60.86202244,2,1009
1.583273575,l,2,-71.57075062,-61.4104304,3,498
1.557648664,r,3,-72.50050962,-61.1398333,3,437
1.555161105,pair,3,-71.89866119,-61.6482351,3,498
1.542186373,l,2,-72.62360955,-60.87653573,2,1009
1.531096731,l,3,-73.42451738,-61.42577255,2,628
1.528169437,r,2,-72.65702633,-60.85057192,2,879
1.510292701,r,2,-71.57523954,-61.41499294,3,498
1.500725697,l,3,-73.01928126,-60.34351376,2,818
1.487795008,pair,2,-71.57281813,-61.41263947,3,498
1.486694502,l,2,-72.49783305,-61.03464579,3,437
1.482632298,r,3,-71.93543837,-62.11917501,3,628
1.477875777,r,1,-71.9019813,-61.45526136,3,498
1.415290935,l,3,-72.58827427,-61.17748969,3,437
1.404782012,l,2,-71.93727251,-62.21934638,2,628
1.399885363,pair,2,-71.52116664,-61.39114972,3,498
1.392118852,r,2,-71.51951955,-61.39181029,3,498
1.368006281,pair,2,-72.65708463,-60.84914726,2,879
1.335223954,pair,1,-71.94833236,-61.79222052,4,125
1.329801299,r,3,-73.01702141,-60.325854,4,64
1.309360977,pair,3,-72.62843307,-60.77052339,2,1009
1.270138956,r,1,-72.03196952,-61.51073914,2,498
1.262685033,r,3,-72.62839225,-60.76940446,2,1009
1.253284289,l,1,-72.64252782,-60.96984499,2,1009
1.240147536,l,2,-72.65696619,-60.84764138,2,879
1.153973604,pair,1,-72.03203491,-61.50913658,3,498
1.102278703,r,3,-71.99443378,-61.69139609,2,498
1.03377288,r,3,-72.35052256,-60.81190146,2,879
1.008721978,r,3,-71.96265938,-62.19647624,2,1001
0.994222344,l,3,-72.34922128,-60.80855415,2,879
0.974711665,pair,3,-72.34969491,-60.81015439,2,879
0.952005932,r,1,-72.35415467,-60.87240669,3,437
0.951610934,pair,2,-73.32612043,-61.57986296,2,628
0.909737721,pair,1,-72.67146031,-60.95531686,2,1009
0.904604945,r,1,-71.24068225,-61.18304073,3,498
0.872494836,l,3,-73.15380201,-61.96564908,3,940
