beam,beam_pair,lat,lon,repeat_cycles_no,track
l,3,-69.86281445,74.60737975,5,485
r,1,-69.80433035,73.55409718,4,157
l,3,-69.89563573,75.4244531,4,919
r,3,-70.83022419,68.23015802,5,89
l,1,-73.24572181,67.52450204,5,211
l,2,-71.48536109,68.65751217,4,531
l,3,-69.9150057,68.40717628,4,81
l,3,-72.1108941,70.319493,5,1354
r,3,-68.72860421,70.32055909,4,790
r,2,-71.29101121,68.32110402,5,89
l,1,-68.72570036,70.28927496,4,904
l,1,-71.01506991,68.95110625,5,20
l,1,-70.67889262,72.45607617,3,218
l,3,-69.85462882,68.11715005,3,531
l,2,-68.64087313,69.68689254,2,1293
r,2,-72.05495216,70.50086022,6,782
r,2,-71.50139265,68.65831794,5,20
l,3,-69.95389657,73.08356778,4,607
r,2,-70.39883901,72.4683674,3,218
r,1,-71.82186929,70.77981999,5,1293
r,3,-68.80369415,69.31455197,3,965
r,2,-68.77417494,69.40825574,3,965
r,3,-70.61073749,69.18107744,3,462
r,3,-70.67558245,72.27126196,4,218
r,3,-70.30642402,69.03801356,5,20
r,1,-69.68701641,69.18175746,3,1354
l,3,-70.69795719,68.6947503,5,973
r,2,-72.27758196,68.58539362,4,462
l,3,-69.81363755,73.81088602,5,546
l,3,-69.29457338,76.7406805,3,302
r,2,-72.48633708,68.49177601,3,462
l,3,-69.70446155,73.51165868,5,104
l,3,-69.8982406,68.39247543,5,973
r,1,-72.06679525,70.10543372,5,1354
r,3,-70.32589092,71.66795608,4,729
r,3,-69.67428911,69.27117283,5,20
r,2,-73.27095669,67.38589429,5,1156
r,3,-72.49742022,68.42058365,4,592
l,2,-69.6466121,73.66332064,3,546
r,2,-68.8930864,69.36855184,4,965
r,3,-73.20984183,67.72077977,5,211
r,1,-69.93427221,74.45899079,4,485
l,1,-69.46594712,76.36846097,3,1247
l,3,-69.83012807,73.37138224,4,157
r,3,-69.90126432,74.3641205,5,43
r,2,-70.20426185,72.54108969,3,218
r,2,-72.49883259,68.22655418,5,20
r,1,-70.7773586,68.54396784,5,973
r,1,-69.85674295,73.65273859,5,546
l,1,-71.48541148,68.7633001,5,20
l,2,-68.57442292,69.92453606,4,348
